Generation: 0. Average fitness: 61 Max size: 67, Max repeated: 1
Generation: 64. Average fitness: 87 Max size: 94, Max repeated: 9
Generation: 65. Average fitness: 88 Max size: 94, Max repeated: 10
Generation: 66. Average fitness: 88 Max size: 94, Max repeated: 11
Generation: 67. Average fitness: 89 Max size: 94, Max repeated: 12
Generation: 68. Average fitness: 90 Max size: 94, Max repeated: 13
Generation: 69. Average fitness: 90 Max size: 94, Max repeated: 14
Generation: 70. Average fitness: 91 Max size: 94, Max repeated: 15
Generation: 71. Average fitness: 91 Max size: 94, Max repeated: 16
Generation: 72. Average fitness: 92 Max size: 94, Max repeated: 17
Generation: 73. Average fitness: 92 Max size: 94, Max repeated: 18
Generation: 74. Average fitness: 92 Max size: 94, Max repeated: 19
Regenerating population
Generation: 75. Average fitness: 61 Max size: 94, Max repeated: 0
Generation: 76. Average fitness: 71 Max size: 94, Max repeated: 1
Generation: 77. Average fitness: 76 Max size: 94, Max repeated: 2
Generation: 78. Average fitness: 79 Max size: 94, Max repeated: 3
Generation: 79. Average fitness: 82 Max size: 94, Max repeated: 4
Generation: 80. Average fitness: 84 Max size: 94, Max repeated: 5
Generation: 81. Average fitness: 85 Max size: 94, Max repeated: 6
Generation: 82. Average fitness: 86 Max size: 94, Max repeated: 7
Generation: 83. Average fitness: 88 Max size: 94, Max repeated: 8
Generation: 84. Average fitness: 89 Max size: 94, Max repeated: 9
Generation: 85. Average fitness: 90 Max size: 94, Max repeated: 10
Generation: 86. Average fitness: 90 Max size: 94, Max repeated: 11
Generation: 87. Average fitness: 91 Max size: 94, Max repeated: 12
Generation: 88. Average fitness: 91 Max size: 94, Max repeated: 13
Generation: 89. Average fitness: 92 Max size: 94, Max repeated: 14
Generation: 90. Average fitness: 92 Max size: 94, Max repeated: 15
Generation: 91. Average fitness: 92 Max size: 94, Max repeated: 16
Generation: 92. Average fitness: 92 Max size: 94, Max repeated: 17
Generation: 93. Average fitness: 92 Max size: 94, Max repeated: 18
Generation: 94. Average fitness: 92 Max size: 94, Max repeated: 19
Regenerating population
Generation: 95. Average fitness: 61 Max size: 94, Max repeated: 0
Generation: 96. Average fitness: 72 Max size: 94, Max repeated: 1
Generation: 97. Average fitness: 77 Max size: 94, Max repeated: 2
Generation: 98. Average fitness: 80 Max size: 94, Max repeated: 3
Generation: 99. Average fitness: 83 Max size: 94, Max repeated: 4
Generation: 100. Average fitness: 85 Max size: 94, Max repeated: 5
Generation: 101. Average fitness: 86 Max size: 94, Max repeated: 6
Generation: 102. Average fitness: 88 Max size: 94, Max repeated: 7
Generation: 103. Average fitness: 89 Max size: 94, Max repeated: 8
Generation: 104. Average fitness: 90 Max size: 94, Max repeated: 9
Generation: 105. Average fitness: 90 Max size: 94, Max repeated: 10
Generation: 106. Average fitness: 90 Max size: 94, Max repeated: 11
Generation: 107. Average fitness: 90 Max size: 94, Max repeated: 12
Generation: 108. Average fitness: 91 Max size: 94, Max repeated: 13
Generation: 109. Average fitness: 91 Max size: 94, Max repeated: 14
Generation: 110. Average fitness: 92 Max size: 94, Max repeated: 15
Generation: 111. Average fitness: 92 Max size: 94, Max repeated: 16
Generation: 112. Average fitness: 92 Max size: 94, Max repeated: 17
Generation: 113. Average fitness: 92 Max size: 94, Max repeated: 18
Generation: 114. Average fitness: 92 Max size: 94, Max repeated: 19
Regenerating population
Generation: 115. Average fitness: 61 Max size: 94, Max repeated: 0
Generation: 116. Average fitness: 71 Max size: 94, Max repeated: 1
Generation: 117. Average fitness: 76 Max size: 94, Max repeated: 2
Generation: 118. Average fitness: 79 Max size: 94, Max repeated: 3
Generation: 119. Average fitness: 80 Max size: 94, Max repeated: 4
Generation: 120. Average fitness: 82 Max size: 94, Max repeated: 5
Generation: 121. Average fitness: 83 Max size: 94, Max repeated: 6
Generation: 122. Average fitness: 84 Max size: 94, Max repeated: 7
Generation: 123. Average fitness: 86 Max size: 94, Max repeated: 8
Generation: 124. Average fitness: 86 Max size: 94, Max repeated: 9
Generation: 125. Average fitness: 86 Max size: 94, Max repeated: 10
Generation: 126. Average fitness: 88 Max size: 94, Max repeated: 11
Generation: 127. Average fitness: 88 Max size: 94, Max repeated: 12
Generation: 128. Average fitness: 88 Max size: 94, Max repeated: 13
Generation: 129. Average fitness: 89 Max size: 94, Max repeated: 14
Generation: 130. Average fitness: 90 Max size: 94, Max repeated: 15
Generation: 131. Average fitness: 91 Max size: 94, Max repeated: 16
Generation: 132. Average fitness: 91 Max size: 94, Max repeated: 17
Generation: 133. Average fitness: 91 Max size: 94, Max repeated: 18
Generation: 134. Average fitness: 92 Max size: 94, Max repeated: 19
Regenerating population
Generation: 135. Average fitness: 62 Max size: 94, Max repeated: 0
Generation: 136. Average fitness: 72 Max size: 94, Max repeated: 1
Generation: 137. Average fitness: 78 Max size: 94, Max repeated: 2
Generation: 138. Average fitness: 81 Max size: 94, Max repeated: 3
Generation: 139. Average fitness: 83 Max size: 94, Max repeated: 4
Generation: 140. Average fitness: 85 Max size: 94, Max repeated: 5
Generation: 141. Average fitness: 87 Max size: 94, Max repeated: 6
Generation: 142. Average fitness: 87 Max size: 94, Max repeated: 7
Generation: 143. Average fitness: 89 Max size: 94, Max repeated: 8
Generation: 144. Average fitness: 90 Max size: 94, Max repeated: 9
Generation: 145. Average fitness: 90 Max size: 94, Max repeated: 10
Generation: 146. Average fitness: 91 Max size: 94, Max repeated: 11
Generation: 147. Average fitness: 91 Max size: 94, Max repeated: 12
Generation: 148. Average fitness: 91 Max size: 94, Max repeated: 13
Generation: 149. Average fitness: 92 Max size: 94, Max repeated: 14
Generation: 150. Average fitness: 92 Max size: 94, Max repeated: 15
Generation: 151. Average fitness: 92 Max size: 94, Max repeated: 16
Generation: 152. Average fitness: 92 Max size: 94, Max repeated: 17
Generation: 153. Average fitness: 92 Max size: 94, Max repeated: 18
Generation: 154. Average fitness: 92 Max size: 94, Max repeated: 19
Regenerating population
Generation: 155. Average fitness: 61 Max size: 94, Max repeated: 0
Generation: 156. Average fitness: 71 Max size: 94, Max repeated: 1
Generation: 157. Average fitness: 77 Max size: 94, Max repeated: 2
Generation: 158. Average fitness: 80 Max size: 94, Max repeated: 3
Generation: 159. Average fitness: 82 Max size: 94, Max repeated: 4
Generation: 160. Average fitness: 84 Max size: 94, Max repeated: 5
Generation: 161. Average fitness: 85 Max size: 94, Max repeated: 6
Generation: 162. Average fitness: 86 Max size: 94, Max repeated: 7
Generation: 163. Average fitness: 87 Max size: 94, Max repeated: 8
Generation: 164. Average fitness: 88 Max size: 94, Max repeated: 9
Generation: 165. Average fitness: 88 Max size: 94, Max repeated: 10
Generation: 166. Average fitness: 88 Max size: 94, Max repeated: 11
Generation: 167. Average fitness: 89 Max size: 94, Max repeated: 12
Generation: 168. Average fitness: 89 Max size: 94, Max repeated: 13
Generation: 169. Average fitness: 89 Max size: 94, Max repeated: 14
Generation: 170. Average fitness: 90 Max size: 94, Max repeated: 15
Generation: 171. Average fitness: 90 Max size: 94, Max repeated: 16
Generation: 172. Average fitness: 90 Max size: 94, Max repeated: 17
Generation: 173. Average fitness: 91 Max size: 94, Max repeated: 18
Generation: 174. Average fitness: 90 Max size: 94, Max repeated: 19
Regenerating population
Generation: 175. Average fitness: 61 Max size: 94, Max repeated: 0
Generation: 176. Average fitness: 71 Max size: 94, Max repeated: 1
Generation: 177. Average fitness: 76 Max size: 94, Max repeated: 2
Generation: 178. Average fitness: 79 Max size: 94, Max repeated: 3
Generation: 179. Average fitness: 81 Max size: 94, Max repeated: 4
Generation: 180. Average fitness: 84 Max size: 94, Max repeated: 5
Generation: 181. Average fitness: 85 Max size: 94, Max repeated: 6
Generation: 182. Average fitness: 85 Max size: 94, Max repeated: 7
Generation: 183. Average fitness: 86 Max size: 94, Max repeated: 8
Generation: 184. Average fitness: 87 Max size: 94, Max repeated: 9
Generation: 185. Average fitness: 87 Max size: 94, Max repeated: 10
Generation: 186. Average fitness: 88 Max size: 94, Max repeated: 11
Generation: 187. Average fitness: 89 Max size: 94, Max repeated: 12
Generation: 188. Average fitness: 89 Max size: 94, Max repeated: 13
Generation: 189. Average fitness: 90 Max size: 94, Max repeated: 14
Generation: 190. Average fitness: 90 Max size: 94, Max repeated: 15
Generation: 191. Average fitness: 91 Max size: 94, Max repeated: 16
Generation: 192. Average fitness: 92 Max size: 94, Max repeated: 17
Generation: 193. Average fitness: 92 Max size: 94, Max repeated: 18
Generation: 194. Average fitness: 92 Max size: 94, Max repeated: 19
Regenerating population
Generation: 195. Average fitness: 61 Max size: 94, Max repeated: 0
Generation: 196. Average fitness: 71 Max size: 94, Max repeated: 1
Generation: 197. Average fitness: 76 Max size: 94, Max repeated: 2
Generation: 198. Average fitness: 79 Max size: 94, Max repeated: 3
Generation: 199. Average fitness: 82 Max size: 94, Max repeated: 4
Clique result for file: DIMACS_cliques/p_hat1500-3.clq
Max clique size: 94
Vertices in max clique: 165 260 921 1341 111 1260 1034 1272 1156 443 1243 1170 621 563 905 722 388 130 852 213 561 1410 132 1045 688 1119 1418 1071 308 1393 391 25 357 67 439 1264 916 614 877 818 437 554 395 311 72 474 432 178 959 1384 536 690 1477 825 989 513 766 1459 427 560 1026 1470 1266 507 1019 10 216 433 529 768 837 579 862 81 36 1001 906 1166 1388 1033 1338 99 102 919 976 148 1004 1499 973 944 1484 1415 1402 1463 
